施設名,患者数合計
大阪赤十字病院,25633.0
社会医療法人警和会　第二大阪警察病院,20555.0
社会医療法人警和会　大阪警察病院,20282.0
左診療所,16222.0
社会福祉法人四天王寺福祉事業団　四天王寺病院,14119.0
医療法人警和会　大阪警察病院付属人間ドッククリニック,8780.0
独立行政法人国立病院機構　大阪医療センター,8709.0
医療法人大峯会　高山診療所,7617.0
医療法人アエバ会　アエバ外科病院,7549.0
大阪公立大学医学部附属病院,6299.0
医療法人エルア会　静波こころの診療所,4747.0
地方独立行政法人大阪府立病院機構　大阪国際がんセンター,4619.0
一般財団法人　大阪府警察職員互助会診療所,4489.0
医療法人中本会　中本病院,3352.0
大阪鉄道病院,3134.0
独立行政法人　地域医療機能推進機構　大阪みなと中央病院,3044.0
国家公務員共済組合連合会　大手前病院,2996.0
株式会社　竹中工務店大阪本店診療所,2995.0
社会医療法人大道会　森之宮病院,2755.0
社会医療法人寿会　富永病院,2673.0
多根総合病院,2365.0
一般財団法人　大阪市環境保健協会　附設診療所,2203.0
公益財団法人田附興風会　医学研究所北野病院,2151.0
古武診療所,1955.0
医療法人伯鳳会　大阪中央病院,1864.0
大阪薬業健康保険組合　薬業大阪診療所,1845.0
医療法人弘仁会　まちだ胃腸病院,1698.0
社会医療法人寿楽会　大野記念病院,1642.0
社会福祉法人竹井病院　竹井医院,1602.0
医療法人　親和会（財団）　はせがわ診療所,1375.0
一般財団法人　住友病院,1355.0
社会福祉法人恩賜財団済生会支部　大阪府済生会中津病院,1157.0
松﨑智彦診療所,1088.0
こころの診療所ハタクリニック,1030.0
相原アベノ診療所,1029.0
医療法人桜峰会　本場診療所,926.0
社会福祉法人　石井記念愛染園附属愛染橋病院,857.0
医療法人有光会　サトウ病院,832.0
大西診療所,766.0
社会医療法人弘道会　なにわ生野病院,759.0
医療法人阪急共栄会　東阪急ビル診療所,743.0
医療法人日新会　日新会病院_国内居住者・来訪者居住地分析_20240401_20250331 (2),687.0
医療法人日新会　日新会病院,687.0
おおさか内分泌診療所,645.0
関西電力病院,631.0
独立行政法人地域医療機能推進機構　大阪病院,604.0
医療法人相愛会　相原第二病院,602.0
福永診療所,564.0
中村診療所,553.0
ほくとクリニック病院,531.0
多根記念眼科病院,518.0
阿倍野診療所,505.0
心療内科　つばくろ診療所,465.0
公益財団法人日本生命済生会　日本生命病院,461.0
医療法人彰療会　大正病院,417.0
大国さわやか苑診療所,331.0
阿波座診療所,239.0
特別養護老人ホーム淳風おおさか診療所,159.0
医療法人　水田診療所,122.0
大阪掖済会病院,0.0
