rank,施設名_実データ列,利用者数合計,大阪赤十字病院フラグ
1,独立行政法人　地域医療機能推進機構　大阪みなと中央病院,450759.0,0
2,大阪公立大学医学部附属病院,308789.0,0
3,独立行政法人国立病院機構　大阪医療センター,237567.0,0
4,大阪赤十字病院,237491.0,1
5,多根総合病院,232442.0,0
6,社会福祉法人恩賜財団済生会支部　大阪府済生会中津病院,200247.0,0
7,大阪鉄道病院,196437.0,0
8,公益財団法人田附興風会　医学研究所北野病院,190358.0,0
9,地方独立行政法人大阪府立病院機構　大阪国際がんセンター,183187.0,0
10,株式会社　竹中工務店大阪本店診療所,182855.0,0
11,独立行政法人地域医療機能推進機構　大阪病院,171334.0,0
12,一般財団法人　住友病院,169651.0,0
13,社会福祉法人四天王寺福祉事業団　四天王寺病院,159290.0,0
14,公益財団法人日本生命済生会　日本生命病院,154612.0,0
15,関西電力病院,140075.0,0
16,社会医療法人警和会　大阪警察病院,125800.0,0
17,一般財団法人　大阪府警察職員互助会診療所,123616.0,0
18,医療法人桜峰会　本場診療所,121696.0,0
19,社会医療法人寿会　富永病院,118779.0,0
20,医療法人伯鳳会　大阪中央病院,114635.0,0
21,社会医療法人大道会　森之宮病院,108228.0,0
22,古武診療所,101009.0,0
23,社会医療法人弘道会　なにわ生野病院,98091.0,0
24,阿波座診療所,92989.0,0
25,医療法人エルア会　静波こころの診療所,88706.0,0
26,中村診療所,87477.0,0
27,医療法人弘仁会　まちだ胃腸病院,85447.0,0
28,おおさか内分泌診療所,85194.0,0
29,国家公務員共済組合連合会　大手前病院,85176.0,0
30,社会医療法人警和会　第二大阪警察病院,80939.0,0
31,こころの診療所ハタクリニック,80379.0,0
32,相原アベノ診療所,77070.0,0
33,社会医療法人寿楽会　大野記念病院,75342.0,0
34,医療法人日新会　日新会病院,74515.0,0
35,医療法人日新会　日新会病院_国内居住者・来訪者居住地分析_20240401_20250331 (2),74515.0,0
36,医療法人警和会　大阪警察病院付属人間ドッククリニック,73073.0,0
37,松﨑智彦診療所,71167.0,0
38,社会福祉法人竹井病院　竹井医院,67889.0,0
39,医療法人阪急共栄会　東阪急ビル診療所,67849.0,0
40,医療法人アエバ会　アエバ外科病院,62368.0,0
41,左診療所,60527.0,0
42,多根記念眼科病院,60340.0,0
43,医療法人彰療会　大正病院,60286.0,0
44,心療内科　つばくろ診療所,58680.0,0
45,大西診療所,58331.0,0
46,大阪掖済会病院,54647.0,0
47,一般財団法人　大阪市環境保健協会　附設診療所,52135.0,0
48,特別養護老人ホーム淳風おおさか診療所,50607.0,0
49,医療法人有光会　サトウ病院,50362.0,0
50,医療法人相愛会　相原第二病院,50084.0,0
51,社会福祉法人　石井記念愛染園附属愛染橋病院,48248.0,0
52,阿倍野診療所,48178.0,0
53,医療法人中本会　中本病院,47937.0,0
54,大国さわやか苑診療所,47228.0,0
55,福永診療所,46870.0,0
56,医療法人　水田診療所,46541.0,0
57,医療法人　親和会（財団）　はせがわ診療所,45500.0,0
58,ほくとクリニック病院,45289.0,0
59,大阪薬業健康保険組合　薬業大阪診療所,44410.0,0
60,医療法人大峯会　高山診療所,41593.0,0
