rank,施設名_実データ列,利用者数合計,佐々総合病院フラグ
1,杏林大学医学部付属病院,307877.0,0
2,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,292611.0,0
3,順天堂大学医学部附属練馬病院,225416.0,0
4,緑風荘病院,214383.0,0
5,公立昭和病院,203030.0,0
6,佐々総合病院,165389.0,1
7,東久留米市休日診療所,160988.0,0
8,小金井リハビリテーション病院,154727.0,0
9,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,130622.0,0
10,練馬区石神井休日急患診療所,123823.0,0
11,医療法人社団　東京白報会　みたか在宅診療所,118204.0,0
12,医療法人　徳洲会　武蔵野徳洲会病院,106719.0,0
13,医療法人社団　新新会　多摩あおば病院,98397.0,0
14,医療法人社団　東光会　西東京中央総合病院,93557.0,0
15,医療法人財団　荻窪病院,89509.0,0
16,城西病院,87196.0,0
17,医療法人社団　薫風会　山田病院,85284.0,0
18,吉祥寺こころの診療所,84393.0,0
19,医療法人社団　東山会　調布東山病院,84106.0,0
20,東村山市休日準夜応急診療所,80916.0,0
21,河北総合病院 分院,78996.0,0
22,社会医療法人社団　愛有会　久米川病院,73223.0,0
23,医療法人社団　山本・前田記念会　前田病院,67124.0,0
24,医療法人社団　杏順会　越川病院,66330.0,0
25,医療法人社団　好仁会　滝山病院,66248.0,0
26,東京都臨時医療施設（国立病院機構東京病院）,64965.0,0
27,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,63345.0,0
28,公益財団法人　榊原記念財団　附属　榊原記念病院,62842.0,0
29,医療法人社団　久保田産婦人科病院,62112.0,0
30,社会福祉法人　聖ヨハネ会　桜町病院,61431.0,0
31,医療法人社団　千秋会　田中脳神経外科病院,59110.0,0
32,杉並区休日等夜間急病診療所,58071.0,0
33,国立研究開発法人　国立精神・神経医療研究センター病院,56555.0,0
34,医療法人財団　慈生会　野村病院,55899.0,0
35,武蔵野赤十字病院,55610.0,0
36,武蔵野陽和会病院,53540.0,0
37,藤村病院,52648.0,0
38,医療法人社団　欣助会　吉祥寺病院,52589.0,0
39,医療法人社団　飯野病院,51204.0,0
40,公益財団法人　結核予防会　複十字病院,49391.0,0
41,天沼診療所,47823.0,0
42,医療法人財団　緑秀会　田無病院,46272.0,0
43,医療法人　泰一会　多摩北整形外科病院,45485.0,0
44,公益財団法人　井之頭病院,44856.0,0
45,医療法人社団　永寿会　三鷹中央病院,43375.0,0
46,医療法人社団　はなぶさ会　島村記念病院,42652.0,0
47,市毛診療所 東京都練馬区,41093.0,0
48,医療法人社団　大日会　小金井太陽病院,40420.0,0
49,東京衛生アドベンチスト病院附属めぐみクリニック,40010.0,0
50,医療法人社団　大坪会　北多摩病院,39559.0,0
51,杉並リハビリテーション病院,36500.0,0
52,医療法人社団　武蔵野会　一橋病院,35638.0,0
53,阿佐ヶ谷すずき診療所,34095.0,0
54,富士見通り診療所,33491.0,0
55,医療法人　啓仁会　森本病院,33096.0,0
56,北多摩生協診療所,30336.0,0
57,大泉生協病院,29890.0,0
58,北多摩中央医療生活協同組合　みなみうら生協診療所,29761.0,0
59,医療法人社団　桐光会　調布病院,29056.0,0
60,医療法人社団　藤啓会　北町診療所,28649.0,0
